mensagem;sentimento
Ai meu bebe chorando 😭😭😭💚;negativo
"Aqui em Ji-Paraná/Rondônia tbm falamos ""dim-dim"". Em Minas Gerais fala-se ""chup-chup"". Bjus.";neutro
Boa tarde a todos!;neutro
Da um ódio, quando começa video show e não vejo a Sophia Abrahão 😯😭😭;negativo
Essa camisa  de Otaviano é linda!;positivo
Eu acho jamais existiràUm apresentador igualAo #Saudoso Chacrinha;positivo
Eu acho que a fofissimaE Claudia Raia;neutro
EU AMO A FATINHA,E UM ORGULHO IMENSO SER FÃ DESSA PROFISSIONAL INCRIVEL ELA DANÇA,APRESENTA,E AS VZS CANTA TBM,ARRASA MSM;positivo
Eu não sou sua fã número 1, mas percebi agora que mulherão o seu ex perdeu!;positivo
Eu to real esperando ela falar do Bonner;neutro
Fátima Bernardes podia ser tombada como Patrimônio histórico,  artístico e cultural do nosso País.;positivo
Fátima Bernardes seus lindossss;positivo
Fátima vc e d+;positivo
Fiquei na dúvida se é vestido ou camisa do joca?;neutro
Joca a sua camisa é dupla face? RsrsFátima linda arrasando no meu vídeo 😘;positivo
O bebê é o Nicolas Prates??;neutro
Oi amores,que tal a Sophia fazer um Filme sobre a Cláudia Raia e ela seriaA própria Cláudia, bjos;positivo
Otaviano imitou o Bonner e disfarçou kkkkkkkk;positivo
Por favor coloquem a bancada de volta! Ridículo as pessoas em pé!! Acabei de ver os dois de braços cruzados! Tão feio!;negativo
Que delicia , Débora e Ney!  Saudades do Barbosa!;negativo
Queria que Mônica irose voltasePor favor Mônica volta depois que terminar bater retro;neutro
Quero que saía rolando a glória pires;negativo
Sassá;neutro
Tô ligado no vídeo show. Beijos pra vcs.;positivo
Totia Meirelles é a musa do clipe Guilherme Arantes.;positivo
Vcs falando aí de vestidos de noiva.Porque o vale a pena não passa o beijo do vampiro? Tem novela que já foi 2 ou até 3 vezes!;negativo
Vcs são d +;positivo
Vcs são lindos, adoro 💕 não perco um dia,bjo!!;positivo
#VivianePasmanter é #Germana em #MundoNovo!? 😱 Impressionante a caracterização! Chocado!!! ;neutro
#Zero1 #ZeroUm só com quinze minutos ainda. Dá nem graça de esperar pra assistir -.- #Globo ;positivo
(Cho ca daaaaa) Não sabia que era a Viviane Pasmanter ;positivo
*Eterno Wando, ficara marcado para sempre na Memória..♡ ;positivo
. @JoaoVicente27 TE AMO TANTO que nem sei ♥️ ;positivo
... Lá em casa, minha vó, mãe, tias, compravam bastante sardinhas frescas por ser barato e as em lata vinham na cesta básica. ;neutro
...Aquarela do Brasil`` amoooooooo ;positivo
.@brunamanzon ,a melhor repórter da TV Sorocaba que vc respeita,😜😜😜;positivo
.Danilo @SBTTheNoite para matar a sede  com sabor de Danilo ;neutro
.Danilo eu já quero ver @gabyspanic no , você já está me enrolando.👎Né gente! 😔😔🤠😥;negativo
.Danilo o melhor zoador do facebook que você respeita! HAHAHAHAHA 😂 Sim, o  está no ar no @SBTonline.;positivo
".@LeoLins contando a história da ""revolta das chibatadas"" depois de uns goró hilário. 😂 #DrunkHistory #HistóriaBêbada  @SBTonline.";negativo
@10TVBr Danilo Rindo até agora do Boletim de Segunda!!  #LavaJato kkkk...;neutro
@21_sarmento @masterchefbr Eu também não! A mulher deveria ter saído, aff! ;negativo
@abnergomes_1 Eu também lembro, amava esse corte kkkk toda Demi Moore ;positivo
@abrahaobestlove @sophiaabrahao Sophia estava lindíssima  na gravação  do  💕😍;positivo
@alcircaniggia na hora que a #EquipeVermelha estava amassando batata estava verde sim ;neutro
@AlisonTheodoro @Bah33p está demaisbando, ela tomba mesmo e ela é sempre assim, simples, linda e muito interessante.  ;positivo
@amariannasantos e muito fofa👼👼👼😍😍😍#CDANoDomingoLegal;positivo
Ana Maria  de unicórnio kkkkkkkk amei Ana vc é a melhor kkkkkkkk  #anacornio 😂😂😂😂;positivo
Ana Maria  parece a gente quando se muda pra mora sozinho e descobre o ferro de passar ;neutro
Ana Maria é Maravilhosa!  Parabéns pela coragem!  ;positivo
Ana Maria na infância tomava muito vaca preta, com fanta laranja vaca amarelo e soda limonada vaca branca...e não batia ;positivo
"Ana Maria o ""baço Baiano "" é simplesmente delicioso, uma iguaria muito mais gostoso que fígado! . #passarinha ";positivo
Ana Maria o que um unicórnio  come?Nuvem!!! ;neutro
Ana Maria sabe conduzir uma boa entrevista, até parece a gente conversando c os convidados ;positivo
Ana Maria está demais bonita com esse azulão 💙 ;positivo
Ana Maria,  .... seria interessante fazer uma reportagem com o minimo de conhecimento de causa,;negativo
@anapaulapadrao @Twitter Opa, amei a foto nova!! Faz mais isso, entrar no tt mesmo sem ser dia de  kkkk 🙈💖;positivo
@anapaulapadrao perguntando se estão gostando. Minha resposta: NÃO! ;negativo
"@anapaulapadrao: ""Ouviu Chef Paola?""@PaolaCarosella: ""👍""😂😂😂😂😂😂😂😂";positivo
@angelicaelisa Essa semana eu até falei da semelhança entre ele e Fabrizio do . Coincidência? Acho que não!;neutro
@arianedgmendes @Ihuiz @MChefVitorB Né non? Kkkkkkk abusados mesmo ;neutro
@arianedgmendes @Ihuiz @MChefVitorB Parece q eles tiram os que o tt mais gostam 😩😩😩;negativo
@axexeo escreve esse livro que com certeza eu vou ler! ;positivo
@BastidoresDaTV Hoje é o melhor  do ano. Eu só acho q o Ceará deveria participar do papo. Mas não dar p reclamar de barriga cheia.;positivo
@bcarbonieri num dá vontade de colocar dentro de um potinho quando ele tava sorrindo e passando as mãozinha na barriga????? ;positivo
@belagil ~ Mãe corajosa!! ;positivo
@belagil minha musa inspiradora do veganismo no , adorei😉;positivo
@belagil está demaisto linda no  de hoje!;positivo
@benebarbosa_mvb agora no @TheNoiteOficial  ;neutro
@bial para de colocar outra pessoa nas entrevistas! O Augusto Cury tinha mt coisa p falar sozinho. Foi mt interrompido ;negativo
@bigviciobbb @BrunaSeb Own vem pro nosso time ❤️ ;positivo
@BlogDoPim Poderiam repetir aquela célebre entrevista do Bial com o professor @OdeCarvalho realizada nos anos 90 ;negativo
@BocaRosaBlog To te vendo no  tu ta Maravilhosa;positivo
@BruMarquezine Maravilhosa ;positivo
@carlo_porto maravilhoso no ;positivo
@carlo_porto VOCÊ está demaisAVILHOSO ❤;positivo
@celsodossi Ana Maria Mamão e jaca ;neutro
@celsodossi @mordomoeugenio @Teledramaturgia Meu Deus como a Yuko do  é engraçada ñ sabia o que fazer com o pênis duro! kkkk!!;neutro
@CentralDeFasSA Hj chorei com a Sôf e a Branca assistindo o live do gshow e a noite quero chorar com elas no  tbm👌💗😗 kkkkkkkkkkkk;negativo
@Claraameendess SBT SP (07/05)#MundoDisney 5.9 5.2#Eliana 6.0#RodaARoda 7.7#SilvioSantos 9.4#ConexãoReporter 5.5;neutro
@claudiiaoficial coloca autoria fofa ;neutro
@conversacbial @PBiaL @MaiaraeMaraisa VIDINHAS 😍🙈   #MaiaraeMaraisaNoBial;positivo
Danilo  estou assistindo   agr no;neutro
Danilo  falando de peso como se isso fizesse diferença. Com esse jeitinho pode pesar o q for q sempre vai estar lindo ;positivo
Danilo Bem que o  poderia arrumar um emprego pra coitada.;negativo
Danilo Começoooou 😃 ;positivo
Danilo dançando está pior que o diguinho kkkk ;negativo
Danilo dançando vai ser a tragédia do século. Só observemos ;negativo
Danilo de salsicha CUT no castigo do mestre mandou no @SBTTheNoite  k k k #MestreMandou;neutro
Danilo era pra ter colocado uma peruca 😂😂 ;neutro
Danilo Esse quadro Adultos com voz de criança é muito bom, adoro!! kkkkk ;positivo
Danilo Eu jamais teria maturidade p trabalhar c Juninho Bill sem pedir p ele ficar cantando as musicas do Trem da Alegria  ;neutro
Danilo falando das Feminista contraditórias que são contra o porte de armas não tem preço 😂😂😂😂 ;neutro
Danilo O Jax Teller vai me fazer assistir pela primeira vez o ;positivo
Danilo parabéns. Dia 30 olavo de carvalho @OdeCarvalho no ;neutro
Danilo Por favor, chama o @nickcarter  pro . E me poem na plateia tbm né?! Kkkk;negativo
Danilo Valeu a apena esperar o  até agora!;positivo
@danstulbach Ana Maria volta logo pra Espn, contigo era muito bacana;neutro
@danstulbach ô homem sensível. Acaba não ;positivo
@danstulbach tô aqui te vendo no  ! Lindo!;positivo
@diguinhocoruja sensualizando com sua perna esburacada anunciando o #SBTNoticias justo em um dia conturbado na política como hoje😂😂;positivo
@dio_rivotril Seeeerio? Mdssssss agora tenho mais motivo pra torcer por ele e ele ser meh crush.. ;positivo
@djessjorsil amiga começou😍👌;positivo
@Domingo_Legal  está começando a diversão do Brasil o clássico batalha naval ;positivo
@Dona_Carosella Fico feliz. 😍😍Daqui a pouco tem a linda @PaolaCarosella no ;positivo
@drauziovarella para presidente do Brasil! #CarênciaPolítica;positivo
@EDeCasa_ esse do alho comprei e detestei ;negativo
@EncontroFatima  Sandy minha ídola .. Feliz mês das mães Sandy e fatima ;positivo
@EncontroFatima  Fátima, diga ao Excelentíssimo Desembargador que as Casas Pernambucanas não fechou. Essa declaração é equivocada,;neutro
@EncontroFatima  o melhor;positivo
@EncontroFatima @JoaoVicente27 João meu lindoooo😍😍;positivo
@EncontroFatima @TiagoLeifert @RedeGlobo  mostra a reação da galera ao micão que o Eduardo pagou em rede nacional  ;neutro
@EncontroFatima Eu teria medo de vazar meus nudes, claro. ;neutro
@EncontroFatima metade do Senado deveria ruir pra podermos pensar em boas opções para novas eleições! Que a justiça seja feita ;neutro
@EncontroFatima sou fã do Marcos &ampBeluti desde da época que os vi no programa bem estar que falava sobre cordas vocais. ;positivo
@EncontroFatima tava esperando grudada na tv nosso  com @SandyLeah @EncontroFatima ... Mês das mães.. Meu primeiro dia das mães.;positivo
"@erickjacquin: ""Tô me sentindo meio abandonado aqui! está demaistando uma pessoa!""@fogaca_henrique: 😂😂😂😂";neutro
@Estopinha onde está a senhorita , q não vejo na esteirinha?Ah, está na esteirinha da praia de copa, humm sei, #semvergonhanoRio;negativo
@evaristocosta @jornalhoje E pode confessar o Joaquim Lopes pegou outro pedaço pra fazer a camisa q está usando hj no ;neutro
@evaristocosta @letras Já quero o Eva e @sophiaabrahao fazendo a coreografia numa reportagem  para o  ❤;positivo
@evaristocosta Minha vida é o  e as matérias acumuladas é o Evaristo, sempre quando estou na Netflix elas ne enterrompem;negativo
@evocesophia_ Ou talvez joana ;neutro
@FabioPorchat  líder de audiência !;positivo
@FabioPorchat Danilo gosto dos dois   😉;positivo
@FalabellaReal e Isabel Ribeiro num #CasoVerdade e em #SolDeVerão! Que legal! #MemóriaNacional ;positivo
@fbbreal 3 ícone da rede globo. ;positivo
@fbbreal é simplesmente maravilhosa. ;positivo
@fbbreal arrazando com as penas de fora no .;positivo
@fbbreal e suas pernas maravilhosas! ;positivo
@fbbreal eu amo você como apresentadora mas não consigo achar interessante o @EncontroFatima  Sucesso pra você!;negativo
@fbbreal fala da #ManuNoEncontro hj   Lindaa;positivo
@fbbreal MARAVILHOSAAAAA;positivo
@fbbreal no   o ibope  vai bombar! 😀;positivo
@fbbreal no , muito legal! 👏👏👏👏👏;positivo
"@fbbreal por favor para de fazer esse ""aham "" não tem quem aguente  seu programa é ótimo, mas esse ""aham"" num tem quem aguente!!";negativo
@fbbreal sambando na cara da sociedade no ...;positivo
@fbbreal sempre Maravilhosa! 👑 ;positivo
@fbbreal sempre muito simpática e linda! ;positivo
@fbbreal todo meu respeito e admiração pela sua trajetória profissional e pessoal amo!👏🏻👏🏻👏🏻❤️❤️❤️ ;positivo
@felipeemagalhae Fechou! Aguardando desde então essa encomenda chegar na minha casa 😂 ;neutro
@Fernanda_Gentil é uma mala ;negativo
@FlavioBolsonaro @benebarbosa_mvb vem coisa boa por aí...! Audiência no  vai extrapolar. :);positivo
@fogaca_henrique é o cara mais afude do mundo, olha isso!! 🤘🏻;positivo
@fogaca_henrique é o meu eterno CRUSH do programa ❤  ;positivo
@fogaca_henrique na prévia e eu não sabia 😱 ;neutro
@fogaca_henrique na prévia.  Morta! ;negativo
"@fogaca_henrique pra @PaolaCarosella: ""Acabou?""Paola: 👍😂😂😂😂😂😂😂😂😂😂";positivo
"@fogaca_henrique pra @PaolaCarosella: ""Acho que ela chega na final!""😂😂😂😂😂😂😂😂😂😂";neutro
"@fogaca_henrique: ""Vamo, Paola, vamo!""@PaolaCarosella: ""👍✋👍! Deixa comigo!""😂😂😂😂😂😂😂😂😂😂";positivo
@fred_b12 foi bruna no mestre mandou haha ;positivo
@gabsfit e qndo vai rolar nosso ;neutro
@Gonnzalles_____ Kkkkkkkkkk falo isso direto  chama eu;neutro
@gshow amo assistir  todo final de semana,aprendo muitas coisas.;neutro
@gshow amo azaléias, depois da 6a tentativa de cultiva-las em vão...desisti ;neutro
@gshow poxa vida mostra minha foto q acabei de enviar aqui #ÉDeCasa;negativo
@gshow Que linda homenagem à sua mãe Serginho...lindo o Tomas ;positivo
@helladio84 Pede para ele no twitter! 😉👍 fala que vc quer dar uma entrevista no .;neutro
@helladio84 Pelo que eu saiba o Danilo Gentili não tem acessoria. 😊👍;positivo
@Hialley Foi lindo o  de hoje falando da eterna Hebe, Ana Maria mostrou imagens quando foi no SBT em 2010 mas confundiu com 1980 😂;positivo
@Hialley sensacional! um dos melhores programas que eles já fizeram, sem dúvida! ;positivo
@hitoulovato Foi sincera e recusou nhoque de abóbora no programa  por que não come abóbora. Virou meme! 😂😂😂;neutro
@Ihuiz @arianedgmendes Terá respescagem quem sabe ? ;negativo
@italocamargo mais um dia de trabalho normal, né? ;neutro
@jairoliveira @TaniaKhalill @tania_khalill amei ver vcs no  com Danilo;positivo
@jhennyUFC virou assistente de palco do programa? Deve ser por isso que o mesmo melhorou! 😁 ;negativo
@JOAQUINVOLTOU Pra mim tem que trocar o  pelo #ENCOXO! (prestem atenção, não é #encosto...);negativo
@KastingCarolina a sua filha é muito linda e inteligente!!! ;positivo
@KastingCarolina maravilhosa ;positivo
@KastingCarolina seus pés são muito lindos ;positivo
@keezyaas @TheNoiteOficial Kkkkkkkkkkkkkkkkkkkk não vem hein kkkkkkk foi muito bom kkkkk ;positivo
@klinleao A regra é clara, frango desfiada é na pressão . ;neutro
@KrystianeSPM O Manoel é o novo reporter do  ?? Liguei agora . Ele é lindão;positivo
@lariscoribeiro NÃO SEI LIDAR MANO. SÉRIO MESMO. ESSE VITOR É MUITO INCRÍVEL ;positivo
@lennonsoares @fabyvaargas TU NÃO está demaisISTINDO ?!?!?!;neutro
@LeoLins é foda! Melhor #drunkhistory ate agora;positivo
@leoyoungchef Impossível assistir  sem comer alguma coisa né hahahha;positivo
@Lopesjoca @otacosta tô sentindo falta das piadocas do Joca😒😒😭😭;negativo
@Lopesjoca ensina teu freestyle pra fatima kkkj ;neutro
@Lopesjoca que horas vc chega em Belém/Aeroporto? Quero ir lá bater uma foto com vc. ;neutro
@Louro_Jose Acabei de perceber que eu não sou normal porque eu AMO passar roupa, para mim é uma terapia e passo bem viu!! kkk ;positivo
@Louro_Jose esse croquete é uma isca para todos nós!  Ana Maria  ;positivo
@Lua_Blanco linda no ;positivo
@luciomaurof Gostaria muito de ver a participação do lucio mauro filho no ;neutro
@LulapeloBrasil, o defensor brasileiro, não pêra, é o Sérgio Moro que é o defensor brasileiro kkkkkkkkkkkkk kkkkkkkkkkkkk ;negativo
@MaiaraeMaraisa aaaaah eu tô ansiosa demais @MaiaraeMaraisa  #MaiaraeMaraisaNoBial ;negativo
@MaiaraeMaraisa Aooo moda apaixoanadaaa.;positivo
@MaiaraeMaraisa cantando nossa musa eterna #elisregina no ;positivo
@MaiaraeMaraisa E ficaria dnv 😍❤  #MaiaraeMaraisaNoBial;positivo
@MaiaraeMaraisa essas gêmeas estão famosinhas demais, amo tanto 👏🏻😍 #MaiaraeMaraisaNoBial ;positivo
@MaiaraeMaraisa ESTÁVAMOS ESPERANDO POR ESSE PROGRAMA 🙈😍 #MaiaraeMaraisaNoBial ;positivo
@MaiaraeMaraisa ESTOU ANSIOSA ❤️ #MaiaraeMaraisaNoBial ;positivo
@MaiaraeMaraisa melhores pessoas, sem dúvidas kkkkkk  #MaiaraeMaraisaNoBial;positivo
@MaiaraeMaraisa MEUS AMORES AMO VOCÊS MEUS ORGULHOS  #MaiaraeMaraisaNoBial;positivo
@MaiaraeMaraisa Não perco mas é por nada  #MaiaraeMaraisaNoBial;positivo
@MaiaraeMaraisa tô amando??? Muiiiitoo  #MaiaraeMaraisaNoBial;positivo
@MaisVoce_Globo legal de se companhar.;positivo
@MaisVoce_Globo Acabei de perceber que eu não sou normal porque eu AMO passar roupa, para mim é uma terapia e passo bem viu!! kkk ;neutro
@MaisVoce_Globo Ana Maria está linda de Unicórnio, mas não é BOLACHA, É BISCOITO!!!! ;positivo
@MaisVoce_Globo avisa a Ana Maria que despacito é devagarinho 😂😂😂 ;negativo
@MaisVoce_Globo Esse casal merecem ganhar o osca do ano. Muito bommmmm👏👏👏😍😍.;positivo
@MaisVoce_Globo mostra a Vivi Pasmanter em #UgaUga eu amava a Maria João ;positivo
@MaisVoce_Globo Muito bom!! ;positivo
@MaisVoce_Globo Passar roupa é facio ;neutro
@MaisVoce_Globo Quase 1 hora falando sobre isso. Falta do que mostrar  ?;negativo
@MaisVoce_Globo sorvete com refrigerante, no Rio Grande do Sul chama Balalaika. .;neutro
@maluma dançando e imitando é muito engraçado! 😂 senhor  #Maluma;neutro
@maluma falou do @lucaslucco no The Noite aaaaaaaaah ❤❤❤❤❤❤❤❤❤ ;positivo
@marcela_mont aaaaah que saudade que eu tava de assistir video show e principalmente te ver nas telinhas ;positivo
@marcela_mont arrasando com a @Camiqueirozreal ;positivo
@marcela_mont e @Camiqueirozreal Divas da TV Brasileira ;positivo
@marcela_mont maravilhosa com o @nicolasprattes ;positivo
@marcela_mont suas axilas são maravilhosas ;positivo
@MarceloWebTV  Hoje tem 👋Bora fofocar as 20:00 hs ao vivo #HoraDaFofoca  e falando de   ,ai que saudades tati e marcelo faz👊👊👊👊;positivo
@marcoluque O melhor rindo mt 👏🏽👏🏽👏🏽👏🏽;positivo
@Marcos_MeB @belutti @MarcoseBelutti  no  -- Adooorei #EuEra ❤;positivo
@MarcosPitombo Ah, já estava com saudades! Como queria poder lhe dá um abraço!😆🙈🙈💙 Com certeza ficarei ligadinha no  @fbbreal .;positivo
@masterchefbr  #FicaYuko  eu e a minha amiga @Sandra2857 estamos torcendo por sua vitória.👏🏻👏🏻👏🏻👏🏻;positivo
@masterchefbr   @MChefAnaLuiza  miga????? Isso é verdade?;neutro
@masterchefbr   que isso colega?;neutro
@masterchefbr   super agitado adoro ação rsrsrs;positivo
@masterchefbr  Nesta prova o menos será mais,para agradar os atletas!!E eu já estou morrendo de fome!😣;neutro
@masterchefbr  pura emoção;positivo
@masterchefbr @MChefDouglas @MChefFernando @MChefDouglas. Fique de olho, numa possivel repescagem, ou estude mais pro  2018.;neutro
@masterchefbr @MChefDouglas Doug deveria sair do Master Chef e ir direto participar do Ru Paul! 💜 ;negativo
@masterchefbr @MChefVitorB Até Porque ela não eh louca de me culpar Porque eu sou o participante mais gente boa dessa bagaça! ;positivo
@masterchefbr @MChefYuko @MChefVitorB #FicaYuko não não #FicaVitorB ops errei #FicaYuko ai droga #FicaVitorB;negativo
@masterchefbr @MChefYuko Linda ;positivo
@masterchefbr @TwitterMediaBR @BandTV Essa mídia golpista adora um anúncio do governo ilegítimo , até no , né não?;negativo
@masterchefbr animada com  mais um destaque positivo da Ana   #AnaLuísa#chapecoense#vamoAnavamoChape;neutro
"@masterchefbr Como diria meu irmão: ""É muita treta, vish"" ";negativo
@masterchefbr eu faria sanduiche com pasta de sardinha ;neutro
@masterchefbr eu queeeero essas receitas!!! Bem que podiam disponibilizar pra gente ;positivo
@masterchefbr Hj tem  !!!! Ansiosa pra começar!!! Torcida pro Azul!;positivo
@masterchefbr O máximo ;positivo
@masterchefbr Pra quem acha que sardinha é coisa de pobre quero só ver os pratos que serão elaborados. ;neutro
@masterchefbr Simplesmente sensacional a decisão do  muito justo, quando vc acha q n pode se surpreender, sempre se surpreende;positivo
@masterchefbr time azul ganha! ;neutro
@masterchefbr vai time azul!;positivo
@mattmrrdck Me vem o Galvão HOJE SIM HOJE SIM HOJE SIM... HOJE NÃO ;neutro
@MChef_Raul Começa logo se não Jesus me leva ou o pastor me convence a doar um dinheiro! #APrevia ;negativo
@MChefAnaLuiza melhor prato da noite  Love u;positivo
@MChefDeborah me surpreendendo em cada programa! ;neutro
@MChefDouglas Amei?? Mal vejo a hora de ver seus comentários 🌚🐍 ;positivo
@MChefDouglas maior injustiça do ... mas, muito sucesso ❤️;positivo
@MChefDouglas Menino que susto ontem!!!! Pelamor! Adoro você lá no  bju bju;positivo
@MChefDouglas Que linda a sua eliminação do Rupaul's Drag Race 😂😂😂 ;negativo
@MChefDouglas Quero meus lindos @MChefDouglas e @MChefVitorB de volta no   😭😭😭;negativo
@MChefDouglas to torcendo pela senhora não me destrói ;neutro
@MChefDouglas, já estou com saudades. Injusto você sair e aquela chata da Mírian ficar. Mas ei, me empresta uns sapatinhos? ;negativo
@MChefFabrizio @MChefMirian @MChefLeonardo Isso aí, vai pra cima dessas cobras! ;negativo
@MChefFabrizio se superando no peixe 👏🏽👏🏽 ;positivo
@MChefFernando @masterchefbr Deu pra perceber pelo teu pescoço! Mas só vc emagreceu né kkkkkkk... o resto, 🐳 ;neutro
@MChefFernando, antes da prova vai ARREGAÇAR sempre, depois da prova, fica ARREGAÇADO. ;neutro
@MChefLeonardo  oi flor, o Brasil inteiro te odeia, se tu ganhar vai ser mais pisado que a Emilly ;negativo
@MChefLeonardo , além de ser o que cozinha melhor, ainda é o que tem os comentários mais engraçados   #teamLeo;positivo
@MChefLeonardo @MChefAbel Porém, o Léo não vai cair, pois ele é focado. Léo já é o vencedor. #amo ;positivo
@MChefLeonardo Continue se inspirando nos livros. Enquanto tivermos os que leêm, nossa sociedade  aí está perdida ❤️ ;positivo
@MChefLeonardo liderando.. prevejo derrota.. ;negativo
@MChefLeonardo não é que o avental vermelho deu sorte mesmo? Hahaha ;positivo
@MChefLeonardo pra mim não tem alma de cozinheiro, ele é apenas um copiador de livro de receita além de mega falsiane 😘 ;negativo
@MChefLeonardo te vi em BH eu acho.. ou alguém muito parecido... Engraçado neh.. e ele nem tava com um saco de tomates. ;neutro
@MChefLeonardo você não sabe fazer nada, então... qualquer coisa que tu pegar é novo. ;neutro
@MChefMirian Só na torcida hoje pela #teammirian no  ❤❤;positivo
@MChefNayane MANO Q ORGULHO DE TI ✌🏻;positivo
@MChefRoger @MChefDouglas Terá repescagem???? ;neutro
@MChefValter vencedor da prova @MChefVitorB tendo segunda chance, só faltava a Mirian ser eliminada pro programa ser perfeito! ;positivo
@MChefVictorV @MChefDeborah @MChefYuko não me inventem de sair hoje, por favor, se não eu desisto de assistir ;negativo
@MChefVictorV e @MChefDeborah JÁ SEI QUE DESSA VEZ DÁ #TimeAZUL !!! ;neutro
@MChefVitorB , o Joseph Climber da vida real!;neutro
@MChefVitorB @masterchefbr  Ser comprometido c o q faz é EXTRAORDINÁRIO! Orgulho d vc amado, mostrou o q é ser capaz! #CHOCOBJS;positivo
@MChefVitorB é Lindo até chorando, bicho...Kiomão ;positivo
@MChefVitorB Agora tu tem q voltar na repescagem  pfvr 😕😕 Como vc se atreve a sair ? Meus fav assim logo os dois ?  ❤️;negativo
@MChefVitorB Cara, se você vai ganhar, eu não sei, mas você já fez história no @masterchefbr!! Parabéns ;positivo
@MChefVitorB espero de todo coração que ele fique...  🍛🍴;positivo
@MChefVitorB espero que o seu dedo esteja melhor e mais cuidado da próxima vez Porque vc quase perde o dedo e eu o 💜 sabia? 😂😝👍;negativo
@MChefVitorB já era meu favorito, agora... ;positivo
@MChefVitorB não sei Porque você se foi, quantas saudades eu senti ;negativo
@MChefVitorB Nao faz assim, fica c nós!!!!! ;negativo
@MChefVitorB parabéns, chorei vendo vc sair pra ser socorrido, com a sua volta e com sua garra e superação, foi épico lindo ;positivo
@MChefVitorB Poxa @MChefVitorB  que triste que você saiu. O   ficou sem graça sem vc;negativo
@MChefVitorB você pode ter sido eliminado do , mas super te convido a participar desse Reality Show que é me namorar;positivo
@MChefYuko  hj vc não sai ;neutro
@MChefYuko Namoral, te amo!! kkkk ;positivo
@MChefYuko No primeiro dia nem sabia seu nome.. No segundo dia eu já amava vc.... Vai ganhar o ;positivo
@MChefYuko ou @MChefVitorB ? Eu vou chorar,não gente,nenhum dos dois podem sair! ;negativo
@MChefYuko qual a fofura que vc aprontou pra hj? Hahaha ❤ ;positivo
@MChefYuko toda empolgada com o pênis foi HILÁRIO 😂😂😂 ;positivo
@MChefYuko vc não vai. Vc não, vc não, vc não. ;neutro
@MChefYuko Você é a participante mais divertida desta edição!! Te adoro!! ;positivo
@murilocouto mano KKKKKKKKKesse cara vai direto pro inferno ;neutro
@nando_reis e os infernais no  😍😍😍amo muito 💖💖💖;positivo
@nando_reis Nando eu tenho uma admiração enorme por vc, Heloísa está na barriga e ama ouvir vc, canta Espatodea para nós duas 😢😍😍😍 ;positivo
@nicolasprattes   ele foi o filho de Giuliana em Terra Nostra  meu crush @RedeGlobo @gshow;neutro
@nicolasprattes é o meninho do Terra Nostra, sabia 😍😍 ;positivo
@nicolasprattes Já tô ligado no   na espera 🖤;positivo
@nicolasprattes lindo demais ;neutro
@OficialMrCatra o pai de todos no  😂👏👏;neutro
@OpsTombei @BrunaSeb Ja to aqui esperando pelo  e pela previa da previa do princeso lindo @MChefVitorB;positivo
@oserginho  Filhos são uma benção na nossa vida, tenho gêmeos já estão com 21 anos...  #DiaDasMães;positivo
@oserginho  Quero o Thomás pra mim😍💕;positivo
@oserginho ... O cidadão família que todo brasileiro gostaria de receber em casa para um café com rosquinhas... ;positivo
@oserginho é aquela pessoa que você tem vontade de dar um abraço e ser amigo. ;neutro
@oserginho É o Tchan... fiz uma viagem no tempo. ;neutro
"@oserginho dizendo ""por favor"" e ""obrigado"", pro seu filhinho trazer o brinquedo.... q exemplo!  ☺️";positivo
@oserginho Gostaria muito de ver o Gavin @SmallAdvantages no , ele é americano, ama nosso país e tem um canal incrível no YouTube;positivo
@oserginho HAHAHAHA Bela @belagil ralando o tchan no clipe que da hora!!!!!! ;neutro
@oserginho Lindo as cenas com sua mãe no programa. ;positivo
@oserginho Oi Serginho, você sabe! Estamos aguardando nosso Lindo e talentoso Sam Alves @samalvesmusic no ! Obrigada!😍🎵;positivo
@oserginho Parabéns! O  ta maravilhoso em homenagem ao dia das mães! To igual @sophiaabrahao 😢mto.Sdd da minha saudosa mãe 💖👸👑;positivo
@Oserginho está demaisrendo matar a gente de tanta emoção??Coisa + linda Laís falando de como via a vida antes e após o acidente! ;positivo
@oserginho vc é incrível cara!!! ;positivo
@otacosta , minha mãe, dona Juberlita, não perde o  e está lhe parabenizando pelo seu aniversário! Felicidades! 🎂🎉;positivo
@otacosta , que peitoral bonito, hein ?!Todo estiloso hoje.;positivo
@otacosta , vovó Zenita está te achando mais gordinho porém continua um galã.  😂Ela está demaisdando beijos 😘❤;positivo
@otacosta @Lopesjoca Fátima Bernardes talentosa   e  inteligente  ;positivo
@otacosta @Lopesjoca pelo amor de Deus mande um beijo pra @fbbreal 😘amo muito ❤#FatimaBernardesNoVideoShow ;positivo
@otacosta é um canastrão ;negativo
@otacosta adoreeeei essa blusa 😂😍 ;positivo
@otacosta e cê sabe jogar alguma coisa? por causa da idade avançada sabe... sla, duvido um pouco ;negativo
@otacosta esse tom de azul ficou muito lindo em vc, melhor que o berinjela 😂😂;positivo
@otacosta jogando torta no povo Socorro que maravilhoso kkkkkk;positivo
@otacosta vc abusa de ser estiloso  ;neutro
@otacosta Você é DEZ!!  📺;positivo
@otacosta Você está lindo demais com esse look, amei o casaco, que homão... ;positivo
@PaolaCarosella dá pra parar de ser linda 😱 Q look é esse 😍;positivo
